@relation trafico

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric
@attribute lluvia {si, no}

@data
Sábado,Enero,17,Víspera,5901,si
Domingo,Enero,17,Festivo,4851,no
Lunes,Enero,18,Laboral,1592,si
Martes,Enero,18,Laboral,9094,si
Miércoles,Enero,18,Festivo,8495,no
Jueves,Enero,18,Laboral,7956,no
Viernes,Enero,18,Laboral,8053,si
Sábado,Enero,18,Víspera,6672,si
Domingo,Enero,18,Festivo,5654,no
Lunes,Enero,19,Laboral,3756,si
Martes,Enero,19,Laboral,7920,si
Miércoles,Enero,19,Festivo,8283,no
Jueves,Enero,19,Laboral,7787,no
Viernes,Enero,19,Laboral,7809,si
Sábado,Enero,19,Víspera,6825,si
Domingo,Enero,19,Festivo,6066,no
Lunes,Enero,20,Laboral,6517,si
Martes,Enero,20,Laboral,6680,si
Miércoles,Enero,20,Festivo,7167,no
Jueves,Enero,20,Laboral,6590,no
Viernes,Enero,20,Laboral,6591,si
Sábado,Enero,20,Víspera,6141,si
Domingo,Enero,20,Festivo,5607,no
Lunes,Enero,21,Laboral,5862,si
Martes,Enero,21,Laboral,5550,si
Miércoles,Enero,21,Festivo,5862,no
Jueves,Enero,21,Laboral,5383,no
Viernes,Enero,21,Laboral,5948,si
Sábado,Enero,21,Víspera,5611,si
Domingo,Enero,21,Festivo,4141,no
Lunes,Enero,22,Laboral,4452,si
Martes,Enero,22,Laboral,3815,si
Miércoles,Enero,22,Festivo,4012,no
Jueves,Enero,22,Laboral,3789,no
Viernes,Enero,22,Laboral,4401,si
Sábado,Enero,22,Víspera,4550,si
Domingo,Enero,22,Festivo,2792,no
Lunes,Enero,23,Laboral,2817,si
Martes,Enero,23,Laboral,2403,si
Miércoles,Enero,23,Festivo,2622,no
Jueves,Enero,23,Laboral,2689,no
Viernes,Enero,23,Laboral,3166,si
Sábado,Enero,23,Víspera,3474,si
Domingo,Enero,23,Festivo,1930,no
Lunes,Enero,24,Laboral,1357,si
Martes,Enero,24,Laboral,897,si
Miércoles,Enero,24,Festivo,1064,no
Jueves,Enero,24,Laboral,1359,no
Viernes,Enero,24,Laboral,2075,si
Sábado,Enero,24,Víspera,2166,si
Domingo,Enero,24,Festivo,1214,no
Lunes,Enero,1,Laboral,567,no
Martes,Enero,1,Laboral,576,no
Miércoles,Enero,1,Laboral,582,no
Jueves,Enero,1,Laboral,644,no
Viernes,Enero,1,Laboral,790,no
Sábado,Enero,1,Víspera,1468,no
Domingo,Enero,1,Festivo,1656,no
Lunes,Enero,2,Laboral,304,no
Martes,Enero,2,Laboral,351,no
Miércoles,Enero,2,Laboral,316,no
Jueves,Enero,2,Laboral,344,no
Viernes,Enero,2,Laboral,403,no
Sábado,Enero,2,Víspera,855,no
Domingo,Enero,2,Festivo,998,no
Lunes,Enero,3,Laboral,185,no
Martes,Enero,3,Laboral,179,no
Miércoles,Enero,3,Laboral,173,no
Jueves,Enero,3,Laboral,228,no
Viernes,Enero,3,Laboral,228,no
Sábado,Enero,3,Víspera,580,no
Domingo,Enero,3,Festivo,716,no
Lunes,Enero,4,Laboral,188,no
Martes,Enero,4,Laboral,162,no
Miércoles,Enero,4,Laboral,178,no
Jueves,Enero,4,Laboral,184,no
Viernes,Enero,4,Laboral,201,no
Sábado,Enero,4,Víspera,367,no
Domingo,Enero,4,Festivo,496,no
Lunes,Enero,5,Laboral,328,no
Martes,Enero,5,Laboral,365,no
Miércoles,Enero,5,Laboral,313,no
Jueves,Enero,5,Laboral,320,no
Viernes,Enero,5,Laboral,386,no
Sábado,Enero,5,Víspera,385,no
Domingo,Enero,5,Festivo,434,no
Lunes,Enero,6,Laboral,1320,no
Martes,Enero,6,Laboral,1311,no
Miércoles,Enero,6,Laboral,1218,no
Jueves,Enero,6,Laboral,1140,no
Viernes,Enero,6,Laboral,1211,no
Sábado,Enero,6,Víspera,776,no
Domingo,Enero,6,Festivo,622,no
Lunes,Enero,7,Laboral,4650,no
Martes,Enero,7,Laboral,4302,no
Miércoles,Enero,7,Laboral,4318,no
Jueves,Enero,7,Laboral,4260,no
Viernes,Enero,7,Laboral,4229,no
Sábado,Enero,7,Víspera,1187,no
Domingo,Enero,7,Festivo,785,no
Lunes,Enero,8,Laboral,8116,no
Martes,Enero,8,Laboral,8066,no
Miércoles,Enero,8,Laboral,7939,no
Jueves,Enero,8,Laboral,7868,no
Viernes,Enero,8,Laboral,6705,no
Sábado,Enero,8,Víspera,1866,no
Domingo,Enero,8,Festivo,1169,no
Lunes,Enero,9,Laboral,8260,no
Martes,Enero,9,Laboral,7958,no
Miércoles,Enero,9,Laboral,8166,no
Jueves,Enero,9,Laboral,8298,no
Viernes,Enero,9,Laboral,6090,no
Sábado,Enero,9,Víspera,3472,no
Domingo,Enero,9,Festivo,1760,no
Lunes,Enero,10,Laboral,6982,no
Martes,Enero,10,Laboral,7102,no
Miércoles,Enero,10,Laboral,7291,no
Jueves,Enero,10,Laboral,6928,no
Viernes,Enero,10,Laboral,7539,no
Sábado,Enero,10,Víspera,4813,no
Domingo,Enero,10,Festivo,2534,no
Lunes,Enero,11,Laboral,6318,no
Martes,Enero,11,Laboral,6491,no
Miércoles,Enero,11,Laboral,6364,no
Jueves,Enero,11,Laboral,6315,no
Viernes,Enero,11,Laboral,7412,no
Sábado,Enero,11,Víspera,5574,no
Domingo,Enero,11,Festivo,3834,no
Lunes,Enero,12,Laboral,6551,no
Martes,Enero,12,Laboral,6625,no
Miércoles,Enero,12,Laboral,6549,no
Jueves,Enero,12,Laboral,6517,no
Viernes,Enero,12,Laboral,6773,no
Sábado,Enero,12,Víspera,6344,no
Domingo,Enero,12,Festivo,4557,no
Lunes,Enero,13,Laboral,6658,no
Martes,Enero,13,Laboral,6822,no
Miércoles,Enero,13,Laboral,6790,no
Jueves,Enero,13,Laboral,6933,no
Viernes,Enero,13,Laboral,7276,no
Sábado,Enero,13,Víspera,6663,no
Domingo,Enero,13,Festivo,5345,no
Lunes,Enero,14,Laboral,7652,no
Martes,Enero,14,Laboral,7924,no
Miércoles,Enero,14,Laboral,7888,no
Jueves,Enero,14,Laboral,7935,no
Viernes,Enero,14,Laboral,8185,no
Sábado,Enero,14,Víspera,7659,no
Domingo,Enero,14,Festivo,6145,no
Lunes,Enero,15,Laboral,8394,no
Martes,Enero,15,Laboral,8682,no
Miércoles,Enero,15,Laboral,8481,no
Jueves,Enero,15,Laboral,8462,no
Viernes,Enero,15,Laboral,9032,no
Sábado,Enero,15,Víspera,6786,no
Domingo,Enero,15,Festivo,5412,no
Lunes,Enero,16,Laboral,8220,no
Martes,Enero,16,Laboral,7766,no
Miércoles,Enero,16,Laboral,8502,no
Jueves,Enero,16,Laboral,8417,no
Viernes,Enero,16,Laboral,8529,no
Sábado,Enero,16,Víspera,5450,no
Domingo,Enero,16,Festivo,4105,no
Lunes,Enero,17,Laboral,8198,no
Martes,Enero,17,Laboral,8292,no
Miércoles,Enero,17,Laboral,8237,no
Jueves,Enero,17,Laboral,8125,no
Viernes,Enero,17,Laboral,8594,no
Sábado,Enero,17,Víspera,6196,no
Domingo,Enero,17,Festivo,4524,no
Lunes,Enero,18,Laboral,8271,no
Martes,Enero,18,Laboral,8399,no
Miércoles,Enero,18,Laboral,8389,no
Jueves,Enero,18,Laboral,8491,no
Viernes,Enero,18,Laboral,8049,no
Sábado,Enero,18,Víspera,5890,no
Domingo,Enero,18,Festivo,5708,no
Lunes,Enero,19,Laboral,8256,no
Martes,Enero,19,Laboral,7852,no
Miércoles,Enero,19,Laboral,7831,no
Jueves,Enero,19,Laboral,7395,no
Viernes,Enero,19,Laboral,8053,no
Sábado,Enero,19,Víspera,6504,no
Domingo,Enero,19,Festivo,5869,no
Lunes,Enero,20,Laboral,7005,no
Martes,Enero,20,Laboral,6805,no
Miércoles,Enero,20,Laboral,6586,no
Jueves,Enero,20,Laboral,6837,no
Viernes,Enero,20,Laboral,7219,no
Sábado,Enero,20,Víspera,7154,no
Domingo,Enero,20,Festivo,5599,no
Lunes,Enero,21,Laboral,5535,no
Martes,Enero,21,Laboral,5508,no
Miércoles,Enero,21,Laboral,5434,no
Jueves,Enero,21,Laboral,5684,no
Viernes,Enero,21,Laboral,6487,no
Sábado,Enero,21,Víspera,5786,no
Domingo,Enero,21,Festivo,4102,no
Lunes,Enero,22,Laboral,3696,no
Martes,Enero,22,Laboral,3656,no
Miércoles,Enero,22,Laboral,3725,no
Jueves,Enero,22,Laboral,3841,no
Viernes,Enero,22,Laboral,5004,no
Sábado,Enero,22,Víspera,4982,no
Domingo,Enero,22,Festivo,2917,no
Lunes,Enero,23,Laboral,2564,no
Martes,Enero,23,Laboral,2446,no
Miércoles,Enero,23,Laboral,2564,no
Jueves,Enero,23,Laboral,2610,no
Viernes,Enero,23,Laboral,3346,no
Sábado,Enero,23,Víspera,3310,no
Domingo,Enero,23,Festivo,1750,no
Lunes,Enero,24,Laboral,1403,no
Martes,Enero,24,Laboral,1019,no
Miércoles,Enero,24,Laboral,1325,no
Jueves,Enero,24,Laboral,1408,no
Viernes,Enero,24,Laboral,2082,no
Sábado,Enero,24,Víspera,2178,no
Domingo,Enero,24,Festivo,1041,no
Lunes,Enero,1,Laboral,503,no
Martes,Enero,1,Laboral,631,si
Miércoles,Enero,1,Laboral,577,no
Jueves,Enero,1,Laboral,652,no
Viernes,Enero,1,Laboral,685,no
Sábado,Enero,1,Víspera,1259,no
Domingo,Enero,1,Festivo,1593,no
Lunes,Enero,2,Laboral,293,no
Martes,Enero,2,Laboral,343,si
Miércoles,Enero,2,Laboral,340,no
Jueves,Enero,2,Laboral,375,no
Viernes,Enero,2,Laboral,372,no
Sábado,Enero,2,Víspera,809,no
Domingo,Enero,2,Festivo,982,no
Lunes,Enero,3,Laboral,172,no
Martes,Enero,3,Laboral,246,si
Miércoles,Enero,3,Laboral,206,no
Jueves,Enero,3,Laboral,282,no
Viernes,Enero,3,Laboral,222,no
Sábado,Enero,3,Víspera,675,no
Domingo,Enero,3,Festivo,640,no
Lunes,Enero,4,Laboral,139,no
Martes,Enero,4,Laboral,182,si
Miércoles,Enero,4,Laboral,174,no
Jueves,Enero,4,Laboral,184,no
Viernes,Enero,4,Laboral,222,no
Sábado,Enero,4,Víspera,504,no
Domingo,Enero,4,Festivo,461,no
Lunes,Enero,5,Laboral,304,no
Martes,Enero,5,Laboral,332,si
Miércoles,Enero,5,Laboral,331,no
Jueves,Enero,5,Laboral,342,no
Viernes,Enero,5,Laboral,372,no
Sábado,Enero,5,Víspera,349,no
Domingo,Enero,5,Festivo,412,no
Lunes,Enero,6,Laboral,1212,no
Martes,Enero,6,Laboral,1215,si
Miércoles,Enero,6,Laboral,1165,no
Jueves,Enero,6,Laboral,1127,no
Viernes,Enero,6,Laboral,1167,no
Sábado,Enero,6,Víspera,789,no
Domingo,Enero,6,Festivo,684,no
Lunes,Enero,7,Laboral,4162,no
Martes,Enero,7,Laboral,4491,si
Miércoles,Enero,7,Laboral,4264,no
Jueves,Enero,7,Laboral,4248,no
Viernes,Enero,7,Laboral,4292,no
Sábado,Enero,7,Víspera,1140,no
Domingo,Enero,7,Festivo,821,no
Lunes,Enero,8,Laboral,7817,no
Martes,Enero,8,Laboral,7501,si
Miércoles,Enero,8,Laboral,7935,no
Jueves,Enero,8,Laboral,7719,no
Viernes,Enero,8,Laboral,7949,no
Sábado,Enero,8,Víspera,1907,no
Domingo,Enero,8,Festivo,1194,no
Lunes,Enero,9,Laboral,8709,no
Martes,Enero,9,Laboral,8501,si
Miércoles,Enero,9,Laboral,8326,no
Jueves,Enero,9,Laboral,8384,no
Viernes,Enero,9,Laboral,8370,no
Sábado,Enero,9,Víspera,3571,no
Domingo,Enero,9,Festivo,1883,no
Lunes,Enero,10,Laboral,7099,no
Martes,Enero,10,Laboral,7086,si
Miércoles,Enero,10,Laboral,7294,no
Jueves,Enero,10,Laboral,6949,no
Viernes,Enero,10,Laboral,7096,no
Sábado,Enero,10,Víspera,4943,no
Domingo,Enero,10,Festivo,2792,no
Lunes,Enero,11,Laboral,6480,no
Martes,Enero,11,Laboral,6542,si
Miércoles,Enero,11,Laboral,6650,no
Jueves,Enero,11,Laboral,6394,no
Viernes,Enero,11,Laboral,4728,no
Sábado,Enero,11,Víspera,5560,no
Domingo,Enero,11,Festivo,4094,no
Lunes,Enero,12,Laboral,6551,no
Martes,Enero,12,Laboral,6394,si
Miércoles,Enero,12,Laboral,6413,no
Jueves,Enero,12,Laboral,6519,no
Viernes,Enero,12,Laboral,5204,no
Sábado,Enero,12,Víspera,6058,no
Domingo,Enero,12,Festivo,4782,no
Lunes,Enero,13,Laboral,6712,no
Martes,Enero,13,Laboral,6511,si
Miércoles,Enero,13,Laboral,6814,no
Jueves,Enero,13,Laboral,6819,no
Viernes,Enero,13,Laboral,7166,no
Sábado,Enero,13,Víspera,6389,no
Domingo,Enero,13,Festivo,5239,no
Lunes,Enero,14,Laboral,7621,no
Martes,Enero,14,Laboral,7370,si
Miércoles,Enero,14,Laboral,7580,no
Jueves,Enero,14,Laboral,7647,no
Viernes,Enero,14,Laboral,8489,no
Sábado,Enero,14,Víspera,7422,no
Domingo,Enero,14,Festivo,6472,no
Lunes,Enero,15,Laboral,8216,no
Martes,Enero,15,Laboral,8101,si
Miércoles,Enero,15,Laboral,8464,no
Jueves,Enero,15,Laboral,8392,no
Viernes,Enero,15,Laboral,9497,no
Sábado,Enero,15,Víspera,6885,no
Domingo,Enero,15,Festivo,5546,no
Lunes,Enero,16,Laboral,8373,no
Martes,Enero,16,Laboral,8068,si
Miércoles,Enero,16,Laboral,8481,no
Jueves,Enero,16,Laboral,8384,no
Viernes,Enero,16,Laboral,8651,no
Sábado,Enero,16,Víspera,5026,no
Domingo,Enero,16,Festivo,4681,no
Lunes,Enero,17,Laboral,7872,no
Martes,Enero,17,Laboral,8240,si
Miércoles,Enero,17,Laboral,8002,no
Jueves,Enero,17,Laboral,8157,no
Viernes,Enero,17,Laboral,8001,no
Sábado,Enero,17,Víspera,5426,no
Domingo,Enero,17,Festivo,4683,no
Lunes,Enero,18,Laboral,8074,no
Martes,Enero,18,Laboral,8300,si
Miércoles,Enero,18,Laboral,8071,no
Jueves,Enero,18,Laboral,8165,no
Viernes,Enero,18,Laboral,8191,no
Sábado,Enero,18,Víspera,6185,no
Domingo,Enero,18,Festivo,5447,no
Lunes,Enero,19,Laboral,7571,no
Martes,Enero,19,Laboral,7491,si
Miércoles,Enero,19,Laboral,7621,no
Jueves,Enero,19,Laboral,7701,no
Viernes,Enero,19,Laboral,7906,no
Sábado,Enero,19,Víspera,6425,no
Domingo,Enero,19,Festivo,6407,no
Lunes,Enero,20,Laboral,6730,no
Martes,Enero,20,Laboral,6655,si
Miércoles,Enero,20,Laboral,6766,no
Jueves,Enero,20,Laboral,6929,no
Viernes,Enero,20,Laboral,7284,no
Sábado,Enero,20,Víspera,6380,no
Domingo,Enero,20,Festivo,5553,no
Lunes,Enero,21,Laboral,5322,no
Martes,Enero,21,Laboral,5441,si
Miércoles,Enero,21,Laboral,5543,no
Jueves,Enero,21,Laboral,5814,no
Viernes,Enero,21,Laboral,6357,no
Sábado,Enero,21,Víspera,5852,no
Domingo,Enero,21,Festivo,4175,no
Lunes,Enero,22,Laboral,3427,no
Martes,Enero,22,Laboral,3619,si
Miércoles,Enero,22,Laboral,3637,no
Jueves,Enero,22,Laboral,3911,no
Viernes,Enero,22,Laboral,4699,no
Sábado,Enero,22,Víspera,4796,no
Domingo,Enero,22,Festivo,3090,no
Lunes,Enero,23,Laboral,2348,no
Martes,Enero,23,Laboral,2238,si
Miércoles,Enero,23,Laboral,2477,no
Jueves,Enero,23,Laboral,2644,no
Viernes,Enero,23,Laboral,3226,no
Sábado,Enero,23,Víspera,3325,no
Domingo,Enero,23,Festivo,1854,no
Lunes,Enero,24,Laboral,950,no
Martes,Enero,24,Laboral,1100,si
Miércoles,Enero,24,Laboral,1336,no
Jueves,Enero,24,Laboral,1326,no
Viernes,Enero,24,Laboral,2045,no
Sábado,Enero,24,Víspera,2043,no
Domingo,Enero,24,Festivo,1037,no
Lunes,Enero,1,Laboral,544,no
Martes,Enero,1,Laboral,575,no
Miércoles,Enero,1,Laboral,588,no
Jueves,Enero,1,Laboral,677,no
Viernes,Enero,1,Laboral,713,si
Sábado,Enero,1,Víspera,1460,no
Domingo,Enero,1,Festivo,1578,no
Lunes,Enero,2,Laboral,262,no
Martes,Enero,2,Laboral,303,no
Miércoles,Enero,2,Laboral,329,no
Jueves,Enero,2,Laboral,362,no
Viernes,Enero,2,Laboral,427,si
Sábado,Enero,2,Víspera,895,no
Domingo,Enero,2,Festivo,976,no
Lunes,Enero,3,Laboral,175,no
Martes,Enero,3,Laboral,199,no
Miércoles,Enero,3,Laboral,168,no
Jueves,Enero,3,Laboral,210,no
Viernes,Enero,3,Laboral,216,si
Sábado,Enero,3,Víspera,507,no
Domingo,Enero,3,Festivo,589,no
Lunes,Enero,4,Laboral,173,no
Martes,Enero,4,Laboral,179,no
Miércoles,Enero,4,Laboral,151,no
Jueves,Enero,4,Laboral,181,no
Viernes,Enero,4,Laboral,242,si
Sábado,Enero,4,Víspera,372,no
Domingo,Enero,4,Festivo,522,no
Lunes,Enero,5,Laboral,296,no
Martes,Enero,5,Laboral,316,no
Miércoles,Enero,5,Laboral,317,no
Jueves,Enero,5,Laboral,318,no
Viernes,Enero,5,Laboral,394,si
Sábado,Enero,5,Víspera,370,no
Domingo,Enero,5,Festivo,519,no
Lunes,Enero,6,Laboral,1231,no
Martes,Enero,6,Laboral,1209,no
Miércoles,Enero,6,Laboral,1157,no
Jueves,Enero,6,Laboral,1145,no
Viernes,Enero,6,Laboral,1287,si
Sábado,Enero,6,Víspera,770,no
Domingo,Enero,6,Festivo,728,no
Lunes,Enero,7,Laboral,4627,no
Martes,Enero,7,Laboral,4549,no
Miércoles,Enero,7,Laboral,4384,no
Jueves,Enero,7,Laboral,4337,no
Viernes,Enero,7,Laboral,4344,si
Sábado,Enero,7,Víspera,1171,no
Domingo,Enero,7,Festivo,893,no
Lunes,Enero,8,Laboral,8032,no
Martes,Enero,8,Laboral,8202,no
Miércoles,Enero,8,Laboral,8133,no
Jueves,Enero,8,Laboral,7995,no
Viernes,Enero,8,Laboral,8102,si
Sábado,Enero,8,Víspera,2038,no
Domingo,Enero,8,Festivo,1108,no
Lunes,Enero,9,Laboral,8289,no
Martes,Enero,9,Laboral,8035,no
Miércoles,Enero,9,Laboral,8565,no
Jueves,Enero,9,Laboral,7561,no
Viernes,Enero,9,Laboral,8339,si
Sábado,Enero,9,Víspera,3546,no
Domingo,Enero,9,Festivo,1890,no
Lunes,Enero,10,Laboral,6948,no
Martes,Enero,10,Laboral,7042,no
Miércoles,Enero,10,Laboral,7287,no
Jueves,Enero,10,Laboral,6567,no
Viernes,Enero,10,Laboral,7103,si
Sábado,Enero,10,Víspera,4896,no
Domingo,Enero,10,Festivo,2846,no
Lunes,Enero,11,Laboral,6666,no
Martes,Enero,11,Laboral,6414,no
Miércoles,Enero,11,Laboral,6682,no
Jueves,Enero,11,Laboral,7331,no
Viernes,Enero,11,Laboral,6798,si
Sábado,Enero,11,Víspera,5712,no
Domingo,Enero,11,Festivo,4642,no
Lunes,Enero,12,Laboral,6473,no
Martes,Enero,12,Laboral,6416,no
Miércoles,Enero,12,Laboral,6612,no
Jueves,Enero,12,Laboral,6628,no
Viernes,Enero,12,Laboral,6749,si
Sábado,Enero,12,Víspera,6416,no
Domingo,Enero,12,Festivo,5534,no
Lunes,Enero,13,Laboral,6602,no
Martes,Enero,13,Laboral,6668,no
Miércoles,Enero,13,Laboral,6774,no
Jueves,Enero,13,Laboral,6905,no
Viernes,Enero,13,Laboral,7231,si
Sábado,Enero,13,Víspera,6552,no
Domingo,Enero,13,Festivo,5223,no
Lunes,Enero,14,Laboral,7213,no
Martes,Enero,14,Laboral,7501,no
Miércoles,Enero,14,Laboral,7591,no
Jueves,Enero,14,Laboral,8094,no
Viernes,Enero,14,Laboral,9111,si
Sábado,Enero,14,Víspera,7712,no
Domingo,Enero,14,Festivo,6118,no
Lunes,Enero,15,Laboral,8262,no
Martes,Enero,15,Laboral,8209,no
Miércoles,Enero,15,Laboral,8226,no
Jueves,Enero,15,Laboral,8843,no
Viernes,Enero,15,Laboral,9370,si
Sábado,Enero,15,Víspera,7141,no
Domingo,Enero,15,Festivo,5515,no
Lunes,Enero,16,Laboral,8167,no
Martes,Enero,16,Laboral,8273,no
Miércoles,Enero,16,Laboral,8558,no
Jueves,Enero,16,Laboral,8607,no
Viernes,Enero,16,Laboral,8952,si
Sábado,Enero,16,Víspera,5398,no
Domingo,Enero,16,Festivo,4412,no
Lunes,Enero,17,Laboral,7757,no
Martes,Enero,17,Laboral,8147,no
Miércoles,Enero,17,Laboral,8297,no
Jueves,Enero,17,Laboral,8339,no
Viernes,Enero,17,Laboral,8152,si
Sábado,Enero,17,Víspera,5636,no
Domingo,Enero,17,Festivo,5113,no
Lunes,Enero,18,Laboral,7684,no
Martes,Enero,18,Laboral,8051,no
Miércoles,Enero,18,Laboral,8255,no
Jueves,Enero,18,Laboral,8387,no
Viernes,Enero,18,Laboral,7597,si
Sábado,Enero,18,Víspera,6257,no
Domingo,Enero,18,Festivo,5414,no
Lunes,Enero,19,Laboral,7950,no
Martes,Enero,19,Laboral,7397,no
Miércoles,Enero,19,Laboral,7475,no
Jueves,Enero,19,Laboral,7933,no
Viernes,Enero,19,Laboral,8188,si
Sábado,Enero,19,Víspera,6649,no
Domingo,Enero,19,Festivo,5682,no
Lunes,Enero,20,Laboral,6724,no
Martes,Enero,20,Laboral,6692,no
Miércoles,Enero,20,Laboral,6741,no
Jueves,Enero,20,Laboral,7099,no
Viernes,Enero,20,Laboral,7350,si
Sábado,Enero,20,Víspera,6468,no
Domingo,Enero,20,Festivo,5604,no
Lunes,Enero,21,Laboral,5217,no
Martes,Enero,21,Laboral,5428,no
Miércoles,Enero,21,Laboral,5679,no
Jueves,Enero,21,Laboral,5857,no
Viernes,Enero,21,Laboral,6614,si
Sábado,Enero,21,Víspera,5671,no
Domingo,Enero,21,Festivo,4179,no
Lunes,Enero,22,Laboral,3680,no
Martes,Enero,22,Laboral,3727,no
Miércoles,Enero,22,Laboral,3766,no
Jueves,Enero,22,Laboral,3806,no
Viernes,Enero,22,Laboral,4932,si
